Metric,GLD,Strategy
Risk-Free Rate,4.39%,4.39%
Time in Market,69.0%,37.0%
,,
Total Return,41%,6%
CAGR% (Annual Return),22.54%,3.63%
,,
Sharpe,1.21,-0.12
RoMaD,1.99,0.52
Corr to Benchmark,1.0,0.39
Prob. Sharpe Ratio,81.27%,44.03%
Smart Sharpe,1.19,-0.12
Sortino,1.82,-0.17
Smart Sortino,1.79,-0.17
Sortino/√2,1.29,-0.12
Smart Sortino/√2,1.26,-0.12
Omega,0.97,0.97
,,
Max Drawdown,-11.35%,-7.04%
Longest DD Days,210,364
Volatility (ann.),13.97%,5.1%
R^2,0.15,0.15
Information Ratio,-0.07,-0.07
Calmar,1.99,0.52
Skew,-0.02,-0.17
Kurtosis,2.95,8.09
,,
Expected Daily%,0.06%,0.01%
Expected Monthly%,1.66%,0.29%
Expected Yearly%,18.86%,3.08%
Daily Value-at-Risk,-1.14%,-0.43%
Expected Shortfall (cVaR),-1.14%,-0.43%
,,
MTD,-1.45%,-2.05%
3M,7.68%,3.19%
6M,15.71%,4.75%
YTD,30.69%,9.12%
1Y,34.67%,8.33%
3Y (ann.),22.54%,3.63%
5Y (ann.),22.54%,3.63%
10Y (ann.),22.54%,3.63%
All-time (ann.),22.54%,3.63%
,,
Best Day,3.21%,1.23%
Worst Day,-3.57%,-1.69%
Best Month,8.67%,3.74%
Worst Month,-4.76%,-2.05%
Best Year,30.69%,9.12%
Worst Year,8.11%,-2.62%
,,
Avg. Drawdown,-2.59%,-1.87%
Avg. Drawdown Days,22,65
Recovery Factor,3.19,0.89
Ulcer Index,0.04,0.04
Serenity Index,0.86,0.02
,,
Avg. Up Month,4.64%,1.81%
Avg. Down Month,-2.05%,-1.39%
Win Days,333.58,331.55
Loss Days,288.42,290.45
Win Days%,53.63%,53.3%
Win Month%,66.67%,50.0%
Win Quarter%,75.0%,62.5%
Win Year%,100.0%,50.0%
,,
Beta,-,0.14
Alpha,-,0.01
Correlation,-,38.92%
Treynor Ratio,-,13.09%
