Metric,GLD,Strategy
Risk-Free Rate,4.39%,4.39%
Time in Market,69.0%,37.0%
,,
Total Return,41%,14%
CAGR% (Annual Return),22.54%,8.03%
,,
Sharpe,1.21,0.37
RoMaD,1.99,0.56
Corr to Benchmark,1.0,0.36
Prob. Sharpe Ratio,81.27%,46.74%
Smart Sharpe,1.18,0.36
Sortino,1.82,0.56
Smart Sortino,1.78,0.55
Sortino/√2,1.29,0.4
Smart Sortino/√2,1.26,0.39
Omega,1.09,1.09
,,
Max Drawdown,-11.35%,-14.26%
Longest DD Days,210,360
Volatility (ann.),13.97%,10.64%
R^2,0.13,0.13
Information Ratio,-0.05,-0.05
Calmar,1.99,0.56
Skew,-0.02,0.58
Kurtosis,2.95,9.56
,,
Expected Daily%,0.06%,0.02%
Expected Monthly%,1.66%,0.63%
Expected Yearly%,18.86%,6.79%
Daily Value-at-Risk,-1.14%,-0.89%
Expected Shortfall (cVaR),-1.14%,-0.89%
,,
MTD,-1.45%,-2.92%
3M,7.68%,4.65%
6M,15.71%,7.16%
YTD,30.69%,21.68%
1Y,34.67%,19.74%
3Y (ann.),22.54%,8.03%
5Y (ann.),22.54%,8.03%
10Y (ann.),22.54%,8.03%
All-time (ann.),22.54%,8.03%
,,
Best Day,3.21%,3.31%
Worst Day,-3.57%,-2.56%
Best Month,8.67%,10.66%
Worst Month,-4.76%,-4.36%
Best Year,30.69%,21.68%
Worst Year,8.11%,-6.28%
,,
Avg. Drawdown,-2.59%,-3.7%
Avg. Drawdown Days,22,66
Recovery Factor,3.19,0.99
Ulcer Index,0.04,0.07
Serenity Index,0.86,0.06
,,
Avg. Up Month,4.64%,3.76%
Avg. Down Month,-2.05%,-2.75%
Win Days,333.58,331.37
Loss Days,288.42,290.63
Win Days%,53.63%,53.28%
Win Month%,66.67%,50.0%
Win Quarter%,75.0%,62.5%
Win Year%,100.0%,50.0%
,,
Beta,-,0.27
Alpha,-,0.02
Correlation,-,35.98%
Treynor Ratio,-,35.19%
