time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2024-03-01 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-03-01 09:30:00-05:00,buy,fill,748.0,GLD,stock,,0.0,,190.27000427246094,market,1,0.0
2024-04-23 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-04-23 10:30:00-04:00,sell,fill,748.0,GLD,stock,,0.0,,213.9600067138672,market,1,0.0
2024-05-16 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-16 10:30:00-04:00,buy,fill,451.0,GLD,stock,,0.0,,220.13999938964844,market,1,0.0
2024-05-24 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-05-24 10:30:00-04:00,sell,fill,451.0,GLD,stock,,0.0,,216.9600067138672,market,1,0.0
2024-07-08 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-07-08 10:30:00-04:00,buy,fill,499.0,GLD,stock,,0.0,,219.63999938964844,market,1,0.0
2024-07-19 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-07-19 10:30:00-04:00,sell,fill,499.0,GLD,stock,,0.0,,221.52000427246094,market,1,0.0
2024-08-12 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-08-12 10:30:00-04:00,buy,fill,379.0,GLD,stock,,0.0,,226.13999938964844,market,1,0.0
2024-11-06 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-11-06 09:30:00-05:00,sell,fill,379.0,GLD,stock,,0.0,,245.63999938964844,market,1,0.0
2024-12-04 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-12-04 09:30:00-05:00,buy,fill,424.0,GLD,stock,,0.0,,244.92999267578125,market,1,0.0
2024-12-19 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-12-19 09:30:00-05:00,sell,fill,424.0,GLD,stock,,0.0,,239.6699981689453,market,1,0.0
2025-01-13 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-13 09:30:00-05:00,buy,fill,576.0,GLD,stock,,0.0,,246.33999633789062,market,1,0.0
2025-02-28 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-02-28 09:30:00-05:00,sell,fill,576.0,GLD,stock,,0.0,,262.55999755859375,market,1,0.0
2025-03-14 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-14 10:30:00-04:00,buy,fill,405.0,GLD,stock,,0.0,,276.2699890136719,market,1,0.0
2025-04-07 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-04-07 10:30:00-04:00,sell,fill,405.0,GLD,stock,,0.0,,278.8599853515625,market,1,0.0
2025-05-30 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-05-30 10:30:00-04:00,buy,fill,261.0,GLD,stock,,0.0,,303.6400146484375,market,1,0.0
