Metric,GLD,Strategy
Risk-Free Rate,4.19%,4.19%
Time in Market,69.0%,41.0%
,,
Total Return,66%,31%
CAGR% (Annual Return),44.29%,21.48%
,,
Sharpe,1.99,1.6
RoMaD,5.45,3.97
Corr to Benchmark,1.0,0.35
Prob. Sharpe Ratio,95.24%,92.37%
Smart Sharpe,1.82,1.47
Sortino,3.04,2.52
Smart Sortino,2.78,2.31
Sortino/√2,2.15,1.78
Smart Sortino/√2,1.97,1.63
Omega,1.42,1.42
,,
Max Drawdown,-8.12%,-5.41%
Longest DD Days,91,158
Volatility (ann.),17.08%,9.86%
R^2,0.13,0.13
Information Ratio,-0.06,-0.06
Calmar,5.45,3.97
Skew,-0.04,0.16
Kurtosis,2.45,7.18
,,
Expected Daily%,0.1%,0.05%
Expected Monthly%,3.02%,1.59%
Expected Yearly%,28.78%,14.37%
Daily Value-at-Risk,-1.37%,-0.79%
Expected Shortfall (cVaR),-1.37%,-0.79%
,,
MTD,2.46%,0.28%
3M,11.7%,0.1%
6M,29.1%,8.8%
YTD,28.48%,8.8%
1Y,44.84%,14.49%
3Y (ann.),44.29%,21.48%
5Y (ann.),44.29%,21.48%
10Y (ann.),44.29%,21.48%
All-time (ann.),44.29%,21.48%
,,
Best Day,3.7%,2.55%
Worst Day,-3.57%,-2.57%
Best Month,9.45%,8.48%
Worst Month,-3.12%,-2.91%
Best Year,29.09%,20.23%
Worst Year,28.48%,8.8%
,,
Avg. Drawdown,-1.9%,-1.73%
Avg. Drawdown Days,13,31
Recovery Factor,6.48,5.09
Ulcer Index,0.03,0.03
Serenity Index,2.72,0.75
,,
Avg. Up Month,4.54%,3.3%
Avg. Down Month,-2.27%,-2.35%
Win Days,292.75,278.37
Loss Days,212.25,226.63
Win Days%,57.97%,55.12%
Win Month%,76.47%,73.33%
Win Quarter%,83.33%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,0.2
Alpha,-,0.12
Correlation,-,35.48%
Treynor Ratio,-,129.89%
