Metric,GLD,Strategy
Risk-Free Rate,4.19%,4.19%
Time in Market,68.0%,12.0%
,,
Total Return,41%,7%
CAGR% (Annual Return),36.87%,6.49%
,,
Sharpe,1.62,0.4
RoMaD,4.54,1.73
Corr to Benchmark,1.0,0.22
Prob. Sharpe Ratio,86.52%,61.63%
Smart Sharpe,1.33,0.33
Sortino,2.45,0.57
Smart Sortino,2.01,0.46
Sortino/√2,1.73,0.4
Smart Sortino/√2,1.42,0.33
Omega,1.14,1.14
,,
Max Drawdown,-8.12%,-3.75%
Longest DD Days,91,188
Volatility (ann.),17.74%,5.89%
R^2,0.05,0.05
Information Ratio,-0.08,-0.08
Calmar,4.54,1.73
Skew,-0.01,-1.32
Kurtosis,2.38,23.66
,,
Expected Daily%,0.09%,0.02%
Expected Monthly%,2.5%,0.5%
Expected Yearly%,18.9%,3.53%
Daily Value-at-Risk,-1.44%,-0.49%
Expected Shortfall (cVaR),-1.44%,-0.49%
,,
MTD,2.46%,0.0%
3M,11.7%,0.0%
6M,29.1%,7.64%
YTD,28.48%,7.64%
1Y,44.84%,8.51%
3Y (ann.),36.87%,6.49%
5Y (ann.),36.87%,6.49%
10Y (ann.),36.87%,6.49%
All-time (ann.),36.87%,6.49%
,,
Best Day,3.7%,1.4%
Worst Day,-3.57%,-2.56%
Best Month,9.45%,6.0%
Worst Month,-3.12%,-1.22%
Best Year,28.48%,7.64%
Worst Year,10.04%,-0.42%
,,
Avg. Drawdown,-2.05%,-1.44%
Avg. Drawdown Days,14,41
Recovery Factor,4.48,1.9
Ulcer Index,0.03,0.03
Serenity Index,1.6,0.06
,,
Avg. Up Month,4.66%,2.78%
Avg. Down Month,-2.15%,-1.22%
Win Days,232.96,240.68
Loss Days,171.04,163.32
Win Days%,57.66%,59.57%
Win Month%,64.29%,75.0%
Win Quarter%,60.0%,66.67%
Win Year%,100.0%,50.0%
,,
Beta,-,0.07
Alpha,-,0.04
Correlation,-,22.35%
Treynor Ratio,-,40.42%
