datetime,portfolio_value,cash,positions,return
2024-01-02 08:30:00-05:00,100000.0,100000.0,[],
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-31 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-02-06 09:30:00-05:00,100612.67858886719,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",0.006126785888671771
2024-02-07 09:30:00-05:00,100907.45541381836,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",0.0029298178826520083
2024-02-08 09:30:00-05:00,100595.3392944336,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",-0.003093092756177307
2024-02-09 09:30:00-05:00,100393.03576660156,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",-0.002011062632234939
2024-02-10 09:30:00-05:00,100393.03576660156,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",0.0
2024-02-11 09:30:00-05:00,100393.03576660156,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",0.0
2024-02-12 09:30:00-05:00,99838.1607055664,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",-0.005527027415777708
2024-02-13 09:30:00-05:00,99115.6607055664,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",-0.007236711843387478
2024-02-14 09:30:00-05:00,98491.4196472168,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",-0.006298107220452098
2024-02-15 09:30:00-05:00,99260.1607055664,-8016.642822265625,"[{'asset': GLD, 'quantity': 578.0}]",0.007805157658435036
2024-02-16 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-17 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-18 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-19 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-20 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-21 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-22 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-23 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-24 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-25 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-26 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-27 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-28 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-02-29 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-03-01 09:30:00-05:00,99260.1607055664,99260.1607055664,[],0.0
2024-03-02 09:30:00-05:00,99260.1607055664,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-03 09:30:00-05:00,99260.1607055664,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-04 09:30:00-05:00,102139.1130065918,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.02900410678928056
2024-03-05 09:30:00-05:00,104580.29934692383,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.023900602506450985
2024-03-06 09:30:00-05:00,105055.17889404297,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.00454081265864259
2024-03-07 09:30:00-05:00,106138.49255371094,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.010311853933070658
2024-03-08 09:30:00-05:00,107140.19708251953,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.009437712037427826
2024-03-09 09:30:00-05:00,107140.19708251953,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-10 10:30:00-04:00,107140.19708251953,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-11 10:30:00-04:00,107748.64251708984,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0056789650489599275
2024-03-12 10:30:00-04:00,106791.45617675781,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.008883511828747248
2024-03-13 10:30:00-04:00,106806.29934692383,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.00013899211320289595
2024-03-14 10:30:00-04:00,106754.35391235352,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.00048635178718803296
2024-03-15 10:30:00-04:00,106435.29934692383,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.002988679653212367
2024-03-16 10:30:00-04:00,106435.29934692383,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-17 10:30:00-04:00,106435.29934692383,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-18 10:30:00-04:00,106227.54025268555,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.0019519754772436837
2024-03-19 10:30:00-04:00,106197.85391235352,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.000279459924059422
2024-03-20 10:30:00-04:00,105856.54025268555,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.0032139412153249225
2024-03-21 10:30:00-04:00,109358.78115844727,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.033084785289616336
2024-03-22 10:30:00-04:00,107459.2629699707,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.017369599115450995
2024-03-23 10:30:00-04:00,107459.2629699707,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-24 10:30:00-04:00,107459.2629699707,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-25 10:30:00-04:00,107362.79934692383,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.0008976762019466955
2024-03-26 10:30:00-04:00,108446.1130065918,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.010090214359700367
2024-03-27 10:30:00-04:00,108201.2629699707,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",-0.0022578037131326667
2024-03-28 10:30:00-04:00,109848.49255371094,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.015223755606229794
2024-03-29 10:30:00-04:00,109848.49255371094,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-30 10:30:00-04:00,109848.49255371094,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-03-31 10:30:00-04:00,109848.49255371094,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
2024-04-01 10:30:00-04:00,112920.37210083008,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.027964694605318696
2024-04-02 10:30:00-04:00,113209.7629699707,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0025627870662896512
2024-04-03 10:30:00-04:00,114322.7629699707,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.009831307572786274
2024-04-04 10:30:00-04:00,115383.81753540039,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.009281218699275007
2024-04-05 10:30:00-04:00,115747.40161132812,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.003151083780151165
2024-04-06 10:30:00-04:00,115747.40161132812,-41920.18246459962,"[{'asset': GLD, 'quantity': 742.0}]",0.0
