Metric,GLD,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,36.0%
,,
Total Return,64%,35%
CAGR% (Annual Return),41.97%,23.48%
,,
Sharpe,1.89,1.65
RoMaD,5.17,3.68
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,94.04%,93.36%
Smart Sharpe,1.73,1.52
Sortino,2.86,2.7
Smart Sortino,2.63,2.48
Sortino/√2,2.02,1.91
Smart Sortino/√2,1.86,1.76
Omega,1.49,1.49
,,
Max Drawdown,-8.12%,-6.38%
Longest DD Days,91,162
Volatility (ann.),17.1%,10.55%
R^2,0.1,0.1
Information Ratio,-0.05,-0.05
Calmar,5.17,3.68
Skew,-0.05,0.71
Kurtosis,2.38,10.94
,,
Expected Daily%,0.1%,0.06%
Expected Monthly%,2.78%,1.66%
Expected Yearly%,27.96%,16.0%
Daily Value-at-Risk,-1.37%,-0.85%
Expected Shortfall (cVaR),-1.37%,-0.85%
,,
MTD,0.76%,0.0%
3M,7.23%,-0.9%
6M,26.14%,8.79%
YTD,26.85%,8.79%
1Y,40.9%,16.58%
3Y (ann.),41.97%,23.48%
5Y (ann.),41.97%,23.48%
10Y (ann.),41.97%,23.48%
All-time (ann.),41.97%,23.48%
,,
Best Day,3.7%,3.31%
Worst Day,-3.57%,-2.57%
Best Month,9.45%,10.67%
Worst Month,-3.12%,-2.92%
Best Year,29.09%,23.68%
Worst Year,26.85%,8.79%
,,
Avg. Drawdown,-1.99%,-1.73%
Avg. Drawdown Days,13,30
Recovery Factor,6.33,4.78
Ulcer Index,0.03,0.03
Serenity Index,2.63,0.77
,,
Avg. Up Month,4.7%,3.83%
Avg. Down Month,-3.12%,-2.92%
Win Days,297.62,293.89
Loss Days,217.38,221.11
Win Days%,57.79%,57.07%
Win Month%,77.78%,71.43%
Win Quarter%,85.71%,83.33%
Win Year%,100.0%,100.0%
,,
Beta,-,0.2
Alpha,-,0.14
Correlation,-,32.3%
Treynor Ratio,-,152.12%
