Metric,GLD,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,25.0%
,,
Total Return,69%,11%
CAGR% (Annual Return),25.95%,4.73%
,,
Sharpe,1.31,0.1
RoMaD,2.29,0.66
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,87.66%,41.26%
Smart Sharpe,1.26,0.1
Sortino,1.98,0.14
Smart Sortino,1.91,0.13
Sortino/√2,1.4,0.1
Smart Sortino/√2,1.35,0.09
Omega,1.03,1.03
,,
Max Drawdown,-11.35%,-7.16%
Longest DD Days,210,258
Volatility (ann.),15.35%,7.4%
R^2,0.1,0.1
Information Ratio,-0.07,-0.07
Calmar,2.29,0.66
Skew,0.1,-1.06
Kurtosis,2.97,16.59
,,
Expected Daily%,0.06%,0.01%
Expected Monthly%,1.82%,0.36%
Expected Yearly%,19.07%,3.56%
Daily Value-at-Risk,-1.26%,-0.62%
Expected Shortfall (cVaR),-1.26%,-0.62%
,,
MTD,0.76%,0.0%
3M,7.23%,0.0%
6M,26.14%,0.0%
YTD,26.85%,0.0%
1Y,40.9%,7.73%
3Y (ann.),25.95%,4.73%
5Y (ann.),25.95%,4.73%
10Y (ann.),25.95%,4.73%
All-time (ann.),25.95%,4.73%
,,
Best Day,3.7%,2.46%
Worst Day,-3.57%,-2.92%
Best Month,9.45%,4.44%
Worst Month,-4.76%,-3.8%
Best Year,26.85%,7.08%
Worst Year,5.07%,0.0%
,,
Avg. Drawdown,-2.35%,-2.56%
Avg. Drawdown Days,20,79
Recovery Factor,4.85,1.55
Ulcer Index,0.04,0.03
Serenity Index,1.57,0.17
,,
Avg. Up Month,2.16%,2.13%
Avg. Down Month,-1.96%,-1.91%
Win Days,455.92,482.46
Loss Days,374.08,347.54
Win Days%,54.93%,58.13%
Win Month%,68.97%,69.23%
Win Quarter%,72.73%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,0.15
Alpha,-,0.01
Correlation,-,32.09%
Treynor Ratio,-,44.12%
