time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2023-03-27 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-03-27 10:30:00-04:00,buy,fill,496.0,GLD,stock,,0.0,,181.14999389648438,market,1,0.0
2023-06-01 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-06-01 10:30:00-04:00,sell,fill,496.0,GLD,stock,,0.0,,182.80999755859375,market,1,0.0
2023-10-31 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-10-31 10:30:00-04:00,buy,fill,490.0,GLD,stock,,0.0,,185.0800018310547,market,1,0.0
2024-02-01 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-02-01 09:30:00-05:00,sell,fill,490.0,GLD,stock,,0.0,,189.7100067138672,market,1,0.0
2024-07-16 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-07-16 10:30:00-04:00,buy,fill,411.0,GLD,stock,,0.0,,225.4499969482422,market,1,0.0
2024-11-27 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-11-27 09:30:00-05:00,sell,fill,411.0,GLD,stock,,0.0,,244.85000610351562,market,1,0.0
