Metric,GLD,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,36.0%
,,
Total Return,74%,9%
CAGR% (Annual Return),27.06%,3.95%
,,
Sharpe,1.35,-0.03
RoMaD,2.38,0.56
Corr to Benchmark,1.0,0.37
Prob. Sharpe Ratio,89.15%,49.19%
Smart Sharpe,1.3,-0.03
Sortino,2.06,-0.05
Smart Sortino,1.98,-0.04
Sortino/√2,1.45,-0.03
Smart Sortino/√2,1.4,-0.03
Omega,0.99,0.99
,,
Max Drawdown,-11.35%,-7.04%
Longest DD Days,210,364
Volatility (ann.),15.5%,5.01%
R^2,0.14,0.14
Information Ratio,-0.08,-0.08
Calmar,2.38,0.56
Skew,0.13,-0.16
Kurtosis,2.91,7.46
,,
Expected Daily%,0.07%,0.01%
Expected Monthly%,1.92%,0.31%
Expected Yearly%,20.21%,3.02%
Daily Value-at-Risk,-1.27%,-0.42%
Expected Shortfall (cVaR),-1.27%,-0.42%
,,
MTD,0.76%,0.0%
3M,7.23%,-0.47%
6M,26.14%,4.01%
YTD,26.85%,4.01%
1Y,40.9%,7.79%
3Y (ann.),27.06%,3.95%
5Y (ann.),27.06%,3.95%
10Y (ann.),27.06%,3.95%
All-time (ann.),27.06%,3.95%
,,
Best Day,3.7%,1.23%
Worst Day,-3.57%,-1.69%
Best Month,9.45%,3.74%
Worst Month,-4.76%,-2.05%
Best Year,26.85%,7.95%
Worst Year,8.11%,-2.62%
,,
Avg. Drawdown,-2.42%,-1.5%
Avg. Drawdown Days,20,49
Recovery Factor,5.11,1.31
Ulcer Index,0.04,0.03
Serenity Index,1.7,0.07
,,
Avg. Up Month,4.63%,1.68%
Avg. Down Month,-2.22%,-1.33%
Win Days,464.6,445.15
Loss Days,378.4,397.85
Win Days%,55.11%,52.81%
Win Month%,68.97%,54.17%
Win Quarter%,72.73%,50.0%
Win Year%,100.0%,66.67%
,,
Beta,-,0.12
Alpha,-,0.01
Correlation,-,36.78%
Treynor Ratio,-,42.88%
