Metric,GLD,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,9.0%
,,
Total Return,57%,0%
CAGR% (Annual Return),40.15%,0.06%
,,
Sharpe,1.79,-1.55
RoMaD,4.94,0.02
Corr to Benchmark,1.0,0.2
Prob. Sharpe Ratio,91.83%,18.71%
Smart Sharpe,1.78,-1.55
Sortino,2.69,-1.84
Smart Sortino,2.69,-1.84
Sortino/√2,1.9,-1.3
Smart Sortino/√2,1.9,-1.3
Omega,0.53,0.53
,,
Max Drawdown,-8.12%,-2.37%
Longest DD Days,91,451
Volatility (ann.),17.38%,2.62%
R^2,0.04,0.04
Information Ratio,-0.11,-0.11
Calmar,4.94,0.02
Skew,-0.06,-6.96
Kurtosis,2.27,120.51
,,
Expected Daily%,0.09%,0.0%
Expected Monthly%,2.68%,0.0%
Expected Yearly%,25.18%,0.04%
Daily Value-at-Risk,-1.4%,-0.23%
Expected Shortfall (cVaR),-1.4%,-0.23%
,,
MTD,0.76%,0.0%
3M,7.23%,-2.12%
6M,26.14%,-1.46%
YTD,26.85%,-1.46%
1Y,40.9%,-2.0%
3Y (ann.),40.15%,0.06%
5Y (ann.),40.15%,0.06%
10Y (ann.),40.15%,0.06%
All-time (ann.),40.15%,0.06%
,,
Best Day,3.7%,0.85%
Worst Day,-3.57%,-2.1%
Best Month,9.45%,1.61%
Worst Month,-3.12%,-1.97%
Best Year,26.85%,1.56%
Worst Year,23.53%,-1.46%
,,
Avg. Drawdown,-2.04%,-1.35%
Avg. Drawdown Days,13,237
Recovery Factor,5.78,0.05
Ulcer Index,0.03,0.01
Serenity Index,2.31,-0.28
,,
Avg. Up Month,5.64%,0.69%
Avg. Down Month,-1.41%,-0.74%
Win Days,281.41,262.23
Loss Days,205.59,224.77
Win Days%,57.78%,53.85%
Win Month%,76.47%,46.15%
Win Quarter%,85.71%,50.0%
Win Year%,100.0%,50.0%
,,
Beta,-,0.03
Alpha,-,-0.01
Correlation,-,19.86%
Treynor Ratio,-,-139.13%
