Metric,GLD,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,15.0%
,,
Total Return,37%,2%
CAGR% (Annual Return),32.27%,1.61%
,,
Sharpe,1.42,-0.76
RoMaD,3.97,0.66
Corr to Benchmark,1.0,0.25
Prob. Sharpe Ratio,81.47%,37.24%
Smart Sharpe,1.19,-0.63
Sortino,2.13,-1.01
Smart Sortino,1.78,-0.85
Sortino/√2,1.5,-0.71
Smart Sortino/√2,1.26,-0.6
Omega,0.8,0.8
,,
Max Drawdown,-8.12%,-2.42%
Longest DD Days,91,188
Volatility (ann.),17.78%,3.32%
R^2,0.06,0.06
Information Ratio,-0.08,-0.08
Calmar,3.97,0.66
Skew,-0.02,-1.38
Kurtosis,2.32,19.72
,,
Expected Daily%,0.08%,0.0%
Expected Monthly%,2.11%,0.12%
Expected Yearly%,16.95%,0.9%
Daily Value-at-Risk,-1.45%,-0.28%
Expected Shortfall (cVaR),-1.45%,-0.28%
,,
MTD,0.76%,0.0%
3M,7.23%,-0.72%
6M,26.14%,2.69%
YTD,26.85%,2.69%
1Y,40.9%,3.38%
3Y (ann.),32.27%,1.61%
5Y (ann.),32.27%,1.61%
10Y (ann.),32.27%,1.61%
All-time (ann.),32.27%,1.61%
,,
Best Day,3.7%,0.89%
Worst Day,-3.57%,-1.39%
Best Month,9.45%,2.73%
Worst Month,-4.12%,-1.52%
Best Year,26.85%,2.69%
Worst Year,7.82%,-0.86%
,,
Avg. Drawdown,-2.16%,-0.77%
Avg. Drawdown Days,14,42
Recovery Factor,4.08,0.76
Ulcer Index,0.03,0.02
Serenity Index,1.44,-0.11
,,
Avg. Up Month,4.66%,1.36%
Avg. Down Month,-4.12%,-1.52%
Win Days,234.29,233.28
Loss Days,175.71,176.72
Win Days%,57.14%,56.9%
Win Month%,66.67%,60.0%
Win Quarter%,66.67%,50.0%
Win Year%,100.0%,50.0%
,,
Beta,-,0.05
Alpha,-,0.0
Correlation,-,24.61%
Treynor Ratio,-,-53.02%
