Metric,GLD,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,1.0%
,,
Total Return,37%,-0%
CAGR% (Annual Return),32.27%,-0.16%
,,
Sharpe,1.42,-10.53
RoMaD,3.97,-0.4
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,81.47%,7.96%
Smart Sharpe,0.82,-6.05
Sortino,2.13,-10.16
Smart Sortino,1.22,-5.84
Sortino/√2,1.5,-7.19
Smart Sortino/√2,0.86,-4.13
Omega,0.04,0.04
,,
Max Drawdown,-8.12%,-0.4%
Longest DD Days,91,409
Volatility (ann.),17.78%,0.41%
R^2,0.01,0.01
Information Ratio,-0.09,-0.09
Calmar,3.97,-0.4
Skew,-0.02,-10.36
Kurtosis,2.32,252.2
,,
Expected Daily%,0.08%,-0.0%
Expected Monthly%,2.11%,-0.01%
Expected Yearly%,16.95%,-0.09%
Daily Value-at-Risk,-1.45%,-0.04%
Expected Shortfall (cVaR),-1.45%,-0.04%
,,
MTD,0.76%,0.0%
3M,7.23%,-0.02%
6M,26.14%,-0.02%
YTD,26.85%,-0.02%
1Y,40.9%,-0.02%
3Y (ann.),32.27%,-0.16%
5Y (ann.),32.27%,-0.16%
10Y (ann.),32.27%,-0.16%
All-time (ann.),32.27%,-0.16%
,,
Best Day,3.7%,0.22%
Worst Day,-3.57%,-0.37%
Best Month,9.45%,0.0%
Worst Month,-4.12%,-0.16%
Best Year,26.85%,-0.02%
Worst Year,7.82%,-0.16%
,,
Avg. Drawdown,-2.16%,-0.4%
Avg. Drawdown Days,14,409
Recovery Factor,4.08,0.45
Ulcer Index,0.03,0.0
Serenity Index,1.44,-0.62
,,
Avg. Up Month,-,-
Avg. Down Month,-4.12%,-0.16%
Win Days,234.29,136.67
Loss Days,175.71,273.33
Win Days%,57.14%,33.33%
Win Month%,66.67%,0.0%
Win Quarter%,66.67%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.0
Alpha,-,-0.0
Correlation,-,8.01%
Treynor Ratio,-,-2394.79%
