time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2023-02-08 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-02-08 09:30:00-05:00,sell,fill,285.0,GLD,stock,,0.0,,174.94000244140625,market,1,0.0
2023-03-14 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-03-14 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-03-14 10:30:00-04:00,buy,fill,285.0,GLD,stock,,0.0,,177.35000610351562,market,1,0.0
2023-03-14 10:30:00-04:00,buy,fill,422.0,GLD,stock,,0.0,,177.35000610351562,market,1,0.0
2023-04-27 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-04-27 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-04-27 10:30:00-04:00,sell,fill,422.0,GLD,stock,,0.0,,183.89999389648438,market,1,0.0
2023-04-27 10:30:00-04:00,sell,fill,66.0,GLD,stock,,0.0,,183.89999389648438,market,1,0.0
2023-05-08 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-05-08 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-05-08 10:30:00-04:00,buy,fill,66.0,GLD,stock,,0.0,,187.82000732421875,market,1,0.0
2023-05-08 10:30:00-04:00,buy,fill,304.0,GLD,stock,,0.0,,187.82000732421875,market,1,0.0
2023-05-22 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-05-22 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-05-22 10:30:00-04:00,sell,fill,304.0,GLD,stock,,0.0,,183.22000122070312,market,1,0.0
2023-05-22 10:30:00-04:00,sell,fill,122.0,GLD,stock,,0.0,,183.22000122070312,market,1,0.0
2023-07-17 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-07-17 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2023-07-17 10:30:00-04:00,buy,fill,122.0,GLD,stock,,0.0,,180.99000549316406,market,1,0.0
2023-07-17 10:30:00-04:00,buy,fill,339.0,GLD,stock,,0.0,,180.99000549316406,market,1,0.0
2023-08-07 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-08-07 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2023-08-07 10:30:00-04:00,sell,fill,339.0,GLD,stock,,0.0,,180.14999389648438,market,1,0.0
