Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,60.0%
,,
Total Return,14%,6%
CAGR% (Annual Return),66.25%,25.0%
,,
Sharpe,3.48,3.0
RoMaD,20.17,14.42
Corr to Benchmark,1.0,0.47
Prob. Sharpe Ratio,93.07%,91.96%
Smart Sharpe,3.28,2.82
Sortino,5.64,4.71
Smart Sortino,5.31,4.44
Sortino/√2,3.99,3.33
Smart Sortino/√2,3.76,3.14
Omega,1.69,1.69
,,
Max Drawdown,-3.28%,-1.73%
Longest DD Days,16,20
Volatility (ann.),13.54%,6.06%
R^2,0.22,0.22
Information Ratio,-0.13,-0.13
Calmar,20.17,14.42
Skew,-0.2,-0.37
Kurtosis,1.49,2.26
,,
Expected Daily%,0.14%,0.06%
Expected Monthly%,3.32%,1.45%
Expected Yearly%,13.98%,5.91%
Daily Value-at-Risk,-1.03%,-0.46%
Expected Shortfall (cVaR),-1.03%,-0.46%
,,
MTD,-2.92%,-1.56%
3M,15.02%,6.32%
6M,13.98%,5.91%
YTD,13.98%,5.91%
1Y,13.98%,5.91%
3Y (ann.),66.25%,25.0%
5Y (ann.),66.25%,25.0%
10Y (ann.),66.25%,25.0%
All-time (ann.),66.25%,25.0%
,,
Best Day,1.78%,0.87%
Worst Day,-2.34%,-0.99%
Best Month,9.45%,3.7%
Worst Month,-2.92%,-1.56%
Best Year,13.98%,5.91%
Worst Year,13.98%,5.91%
,,
Avg. Drawdown,-0.99%,-0.49%
Avg. Drawdown Days,4,4
Recovery Factor,4.06,3.34
Ulcer Index,0.01,0.01
Serenity Index,2.69,0.52
,,
Avg. Up Month,5.54%,2.47%
Avg. Down Month,-2.92%,-1.56%
Win Days,60.32,56.67
Loss Days,34.68,38.33
Win Days%,63.49%,59.65%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.21
Alpha,-,0.11
Correlation,-,47.06%
Treynor Ratio,-,8.23%
