Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,60.0%
,,
Total Return,14%,4%
CAGR% (Annual Return),66.25%,14.38%
,,
Sharpe,3.48,2.53
RoMaD,20.17,13.64
Corr to Benchmark,1.0,0.47
Prob. Sharpe Ratio,93.07%,91.72%
Smart Sharpe,3.28,2.38
Sortino,5.64,3.91
Smart Sortino,5.31,3.68
Sortino/√2,3.99,2.76
Smart Sortino/√2,3.75,2.6
Omega,1.54,1.54
,,
Max Drawdown,-3.28%,-1.05%
Longest DD Days,16,20
Volatility (ann.),13.54%,3.66%
R^2,0.22,0.22
Information Ratio,-0.16,-0.16
Calmar,20.17,13.64
Skew,-0.2,-0.39
Kurtosis,1.49,2.31
,,
Expected Daily%,0.14%,0.04%
Expected Monthly%,3.32%,0.87%
Expected Yearly%,13.98%,3.52%
Daily Value-at-Risk,-1.03%,-0.28%
Expected Shortfall (cVaR),-1.03%,-0.28%
,,
MTD,-2.92%,-0.95%
3M,15.02%,3.76%
6M,13.98%,3.52%
YTD,13.98%,3.52%
1Y,13.98%,3.52%
3Y (ann.),66.25%,14.38%
5Y (ann.),66.25%,14.38%
10Y (ann.),66.25%,14.38%
All-time (ann.),66.25%,14.38%
,,
Best Day,1.78%,0.52%
Worst Day,-2.34%,-0.6%
Best Month,9.45%,2.22%
Worst Month,-2.92%,-0.95%
Best Year,13.98%,3.52%
Worst Year,13.98%,3.52%
,,
Avg. Drawdown,-0.99%,-0.3%
Avg. Drawdown Days,4,4
Recovery Factor,4.06,3.3
Ulcer Index,0.01,0.0
Serenity Index,2.69,-0.37
,,
Avg. Up Month,5.54%,1.48%
Avg. Down Month,-2.92%,-0.95%
Win Days,60.32,56.67
Loss Days,34.68,38.33
Win Days%,63.49%,59.65%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.13
Alpha,-,0.07
Correlation,-,46.96%
Treynor Ratio,-,-5.19%
