datetime,portfolio_value,cash,positions,return
2025-01-02 08:30:00-05:00,100000.0,100000.0,[],
2025-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 10:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 10:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 11:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 11:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 12:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 12:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 13:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 13:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 14:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 14:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 15:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 15:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 16:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-02 16:00:00-05:00,100000.0,100000.0,[],0.0
2025-01-03 08:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2025-01-03 10:00:00-05:00,100000.0,50109.760498046875,"[{'asset': GLD, 'quantity': 204.0}]",0.0
2025-01-03 10:30:00-05:00,100000.0,25164.640747070312,"[{'asset': GLD, 'quantity': 306.0}]",0.0
2025-01-03 11:00:00-05:00,100000.0,12692.080871582031,"[{'asset': GLD, 'quantity': 357.0}]",0.0
2025-01-03 11:30:00-05:00,100000.0,6578.0809326171875,"[{'asset': GLD, 'quantity': 382.0}]",0.0
2025-01-03 12:00:00-05:00,100000.0,3398.8009643554688,"[{'asset': GLD, 'quantity': 395.0}]",0.0
2025-01-03 12:30:00-05:00,100000.0,1931.4409790039062,"[{'asset': GLD, 'quantity': 401.0}]",0.0
2025-01-03 13:00:00-05:00,100000.0,1197.760986328125,"[{'asset': GLD, 'quantity': 404.0}]",0.0
2025-01-03 13:30:00-05:00,100000.0,708.6409912109375,"[{'asset': GLD, 'quantity': 406.0}]",0.0
2025-01-03 14:00:00-05:00,100000.0,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-03 14:30:00-05:00,100000.0,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-03 15:00:00-05:00,100000.0,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-03 15:30:00-05:00,100000.0,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-03 16:00:00-05:00,100000.0,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-03 16:00:00-05:00,100000.0,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 08:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",-0.009076082611083947
2025-01-06 09:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 09:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 10:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 10:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 11:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 11:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 12:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 12:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 13:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 13:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 14:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 14:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 15:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 15:30:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 16:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-06 16:00:00-05:00,99092.3917388916,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 08:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.013102226829618147
2025-01-07 09:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 09:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 10:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 10:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 11:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 11:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 12:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 12:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 13:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 13:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 14:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 14:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 15:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 15:30:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 16:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-07 16:00:00-05:00,100390.72273254395,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 08:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0008108195231488757
2025-01-08 09:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 09:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 10:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 10:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 11:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 11:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 12:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 12:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 13:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 13:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 14:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 14:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 15:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 15:30:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
2025-01-08 16:00:00-05:00,100472.12149047852,464.08099365234375,"[{'asset': GLD, 'quantity': 407.0}]",0.0
