Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,68.0%,60.0%
,,
Total Return,15%,4%
CAGR% (Annual Return),74.5%,15.56%
,,
Sharpe,3.81,1.92
RoMaD,22.68,9.21
Corr to Benchmark,1.0,0.43
Prob. Sharpe Ratio,94.61%,81.79%
Smart Sharpe,3.66,1.84
Sortino,6.22,2.9
Smart Sortino,5.98,2.79
Sortino/√2,4.4,2.05
Smart Sortino/√2,4.23,1.97
Omega,1.41,1.41
,,
Max Drawdown,-3.28%,-1.69%
Longest DD Days,16,33
Volatility (ann.),13.63%,5.4%
R^2,0.19,0.19
Information Ratio,-0.18,-0.18
Calmar,22.68,9.21
Skew,-0.24,-0.4
Kurtosis,1.51,3.06
,,
Expected Daily%,0.15%,0.04%
Expected Monthly%,3.53%,0.9%
Expected Yearly%,14.88%,3.67%
Daily Value-at-Risk,-1.02%,-0.43%
Expected Shortfall (cVaR),-1.02%,-0.43%
,,
MTD,-2.92%,-1.52%
3M,15.02%,4.14%
6M,14.88%,3.67%
YTD,14.88%,3.67%
1Y,14.88%,3.67%
3Y (ann.),74.5%,15.56%
5Y (ann.),74.5%,15.56%
10Y (ann.),74.5%,15.56%
All-time (ann.),74.5%,15.56%
,,
Best Day,1.78%,0.79%
Worst Day,-2.34%,-0.96%
Best Month,9.45%,2.58%
Worst Month,-2.92%,-1.52%
Best Year,14.88%,3.67%
Worst Year,14.88%,3.67%
,,
Avg. Drawdown,-1.06%,-0.45%
Avg. Drawdown Days,4,5
Recovery Factor,4.3,2.15
Ulcer Index,0.01,0.01
Serenity Index,2.85,-0.29
,,
Avg. Up Month,5.82%,1.73%
Avg. Down Month,-2.92%,-1.52%
Win Days,59.35,51.85
Loss Days,32.65,40.15
Win Days%,64.52%,56.36%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.17
Alpha,-,0.05
Correlation,-,43.42%
Treynor Ratio,-,-2.96%
