Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,57.0%
,,
Total Return,14%,6%
CAGR% (Annual Return),66.25%,23.88%
,,
Sharpe,3.48,3.04
RoMaD,20.17,14.18
Corr to Benchmark,1.0,0.44
Prob. Sharpe Ratio,93.07%,92.87%
Smart Sharpe,3.39,2.96
Sortino,5.64,4.95
Smart Sortino,5.5,4.82
Sortino/√2,3.99,3.5
Smart Sortino/√2,3.89,3.41
Omega,1.72,1.72
,,
Max Drawdown,-3.28%,-1.68%
Longest DD Days,16,16
Volatility (ann.),13.54%,5.68%
R^2,0.19,0.19
Information Ratio,-0.13,-0.13
Calmar,20.17,14.18
Skew,-0.2,-0.18
Kurtosis,1.49,2.57
,,
Expected Daily%,0.14%,0.06%
Expected Monthly%,3.32%,1.39%
Expected Yearly%,13.98%,5.67%
Daily Value-at-Risk,-1.03%,-0.43%
Expected Shortfall (cVaR),-1.03%,-0.43%
,,
MTD,-2.92%,-1.51%
3M,15.02%,6.07%
6M,13.98%,5.67%
YTD,13.98%,5.67%
1Y,13.98%,5.67%
3Y (ann.),66.25%,23.88%
5Y (ann.),66.25%,23.88%
10Y (ann.),66.25%,23.88%
All-time (ann.),66.25%,23.88%
,,
Best Day,1.78%,0.87%
Worst Day,-2.34%,-0.96%
Best Month,9.45%,3.03%
Worst Month,-2.92%,-1.51%
Best Year,13.98%,5.67%
Worst Year,13.98%,5.67%
,,
Avg. Drawdown,-0.99%,-0.43%
Avg. Drawdown Days,4,5
Recovery Factor,4.06,3.3
Ulcer Index,0.01,0.0
Serenity Index,2.69,1.24
,,
Avg. Up Month,5.54%,2.37%
Avg. Down Month,-2.92%,-1.51%
Win Days,60.32,56.3
Loss Days,34.68,38.7
Win Days%,63.49%,59.26%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.18
Alpha,-,0.12
Correlation,-,43.76%
Treynor Ratio,-,8.1%
