Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,59.0%
,,
Total Return,14%,8%
CAGR% (Annual Return),66.25%,34.59%
,,
Sharpe,3.48,3.23
RoMaD,20.17,14.68
Corr to Benchmark,1.0,0.44
Prob. Sharpe Ratio,93.07%,92.76%
Smart Sharpe,3.39,3.15
Sortino,5.64,5.29
Smart Sortino,5.5,5.15
Sortino/√2,3.99,3.74
Smart Sortino/√2,3.89,3.64
Omega,1.8,1.8
,,
Max Drawdown,-3.28%,-2.36%
Longest DD Days,16,16
Volatility (ann.),13.54%,7.93%
R^2,0.19,0.19
Information Ratio,-0.09,-0.09
Calmar,20.17,14.68
Skew,-0.2,-0.18
Kurtosis,1.49,2.6
,,
Expected Daily%,0.14%,0.08%
Expected Monthly%,3.32%,1.93%
Expected Yearly%,13.98%,7.94%
Daily Value-at-Risk,-1.03%,-0.6%
Expected Shortfall (cVaR),-1.03%,-0.6%
,,
MTD,-2.92%,-2.11%
3M,15.02%,8.53%
6M,13.98%,7.94%
YTD,13.98%,7.94%
1Y,13.98%,7.94%
3Y (ann.),66.25%,34.59%
5Y (ann.),66.25%,34.59%
10Y (ann.),66.25%,34.59%
All-time (ann.),66.25%,34.59%
,,
Best Day,1.78%,1.21%
Worst Day,-2.34%,-1.34%
Best Month,9.45%,4.25%
Worst Month,-2.92%,-2.11%
Best Year,13.98%,7.94%
Worst Year,13.98%,7.94%
,,
Avg. Drawdown,-0.99%,-0.6%
Avg. Drawdown Days,4,5
Recovery Factor,4.06,3.28
Ulcer Index,0.01,0.01
Serenity Index,2.69,2.28
,,
Avg. Up Month,5.54%,3.32%
Avg. Down Month,-2.92%,-2.11%
Win Days,60.32,54.29
Loss Days,34.68,40.71
Win Days%,63.49%,57.14%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.26
Alpha,-,0.17
Correlation,-,43.72%
Treynor Ratio,-,14.71%
