Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,58.0%
,,
Total Return,14%,9%
CAGR% (Annual Return),66.25%,40.17%
,,
Sharpe,3.48,3.29
RoMaD,20.17,14.96
Corr to Benchmark,1.0,0.44
Prob. Sharpe Ratio,93.07%,92.71%
Smart Sharpe,3.39,3.2
Sortino,5.64,5.39
Smart Sortino,5.5,5.25
Sortino/√2,3.99,3.81
Smart Sortino/√2,3.89,3.71
Omega,1.82,1.82
,,
Max Drawdown,-3.28%,-2.69%
Longest DD Days,16,16
Volatility (ann.),13.54%,9.04%
R^2,0.19,0.19
Information Ratio,-0.07,-0.07
Calmar,20.17,14.96
Skew,-0.2,-0.19
Kurtosis,1.49,2.61
,,
Expected Daily%,0.14%,0.09%
Expected Monthly%,3.32%,2.2%
Expected Yearly%,13.98%,9.08%
Daily Value-at-Risk,-1.03%,-0.69%
Expected Shortfall (cVaR),-1.03%,-0.69%
,,
MTD,-2.92%,-2.41%
3M,15.02%,9.76%
6M,13.98%,9.08%
YTD,13.98%,9.08%
1Y,13.98%,9.08%
3Y (ann.),66.25%,40.17%
5Y (ann.),66.25%,40.17%
10Y (ann.),66.25%,40.17%
All-time (ann.),66.25%,40.17%
,,
Best Day,1.78%,1.38%
Worst Day,-2.34%,-1.53%
Best Month,9.45%,4.86%
Worst Month,-2.92%,-2.41%
Best Year,13.98%,9.08%
Worst Year,13.98%,9.08%
,,
Avg. Drawdown,-0.99%,-0.68%
Avg. Drawdown Days,4,5
Recovery Factor,4.06,3.28
Ulcer Index,0.01,0.01
Serenity Index,2.69,2.6
,,
Avg. Up Month,5.54%,3.79%
Avg. Down Month,-2.92%,-2.41%
Win Days,60.32,55.27
Loss Days,34.68,39.73
Win Days%,63.49%,58.18%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.29
Alpha,-,0.19
Correlation,-,43.7%
Treynor Ratio,-,16.79%
