Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,45.0%
,,
Total Return,14%,7%
CAGR% (Annual Return),66.25%,30.13%
,,
Sharpe,3.48,3.02
RoMaD,20.17,16.3
Corr to Benchmark,1.0,0.4
Prob. Sharpe Ratio,93.07%,92.46%
Smart Sharpe,3.38,2.93
Sortino,5.64,5.45
Smart Sortino,5.48,5.29
Sortino/√2,3.99,3.85
Smart Sortino/√2,3.87,3.74
Omega,1.87,1.87
,,
Max Drawdown,-3.28%,-1.85%
Longest DD Days,16,16
Volatility (ann.),13.54%,7.36%
R^2,0.16,0.16
Information Ratio,-0.1,-0.1
Calmar,20.17,16.3
Skew,-0.2,0.38
Kurtosis,1.49,4.86
,,
Expected Daily%,0.14%,0.07%
Expected Monthly%,3.32%,1.71%
Expected Yearly%,13.98%,7.01%
Daily Value-at-Risk,-1.03%,-0.56%
Expected Shortfall (cVaR),-1.03%,-0.56%
,,
MTD,-2.92%,0.0%
3M,15.02%,7.68%
6M,13.98%,7.01%
YTD,13.98%,7.01%
1Y,13.98%,7.01%
3Y (ann.),66.25%,30.13%
5Y (ann.),66.25%,30.13%
10Y (ann.),66.25%,30.13%
All-time (ann.),66.25%,30.13%
,,
Best Day,1.78%,1.38%
Worst Day,-2.34%,-1.54%
Best Month,9.45%,3.61%
Worst Month,-2.92%,0.0%
Best Year,13.98%,7.01%
Worst Year,13.98%,7.01%
,,
Avg. Drawdown,-0.99%,-0.56%
Avg. Drawdown Days,4,5
Recovery Factor,4.06,3.7
Ulcer Index,0.01,0.01
Serenity Index,2.69,1.17
,,
Avg. Up Month,5.54%,2.29%
Avg. Down Month,-,-
Win Days,60.32,52.02
Loss Days,34.68,42.98
Win Days%,63.49%,54.76%
Win Month%,75.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.22
Alpha,-,0.15
Correlation,-,40.34%
Treynor Ratio,-,12.93%
