Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,45.0%
,,
Total Return,14%,5%
CAGR% (Annual Return),66.25%,21.01%
,,
Sharpe,3.48,2.62
RoMaD,20.17,13.29
Corr to Benchmark,1.0,0.39
Prob. Sharpe Ratio,93.07%,89.6%
Smart Sharpe,3.38,2.54
Sortino,5.64,4.43
Smart Sortino,5.47,4.3
Sortino/√2,3.99,3.13
Smart Sortino/√2,3.87,3.04
Omega,1.72,1.72
,,
Max Drawdown,-3.28%,-1.58%
Longest DD Days,16,16
Volatility (ann.),13.54%,5.7%
R^2,0.15,0.15
Information Ratio,-0.14,-0.14
Calmar,20.17,13.29
Skew,-0.2,-0.03
Kurtosis,1.49,6.43
,,
Expected Daily%,0.14%,0.05%
Expected Monthly%,3.32%,1.23%
Expected Yearly%,13.98%,5.03%
Daily Value-at-Risk,-1.03%,-0.44%
Expected Shortfall (cVaR),-1.03%,-0.44%
,,
MTD,-2.92%,0.0%
3M,15.02%,5.52%
6M,13.98%,5.03%
YTD,13.98%,5.03%
1Y,13.98%,5.03%
3Y (ann.),66.25%,21.01%
5Y (ann.),66.25%,21.01%
10Y (ann.),66.25%,21.01%
All-time (ann.),66.25%,21.01%
,,
Best Day,1.78%,1.04%
Worst Day,-2.34%,-1.35%
Best Month,9.45%,2.7%
Worst Month,-2.92%,0.0%
Best Year,13.98%,5.03%
Worst Year,13.98%,5.03%
,,
Avg. Drawdown,-0.99%,-0.44%
Avg. Drawdown Days,4,5
Recovery Factor,4.06,3.13
Ulcer Index,0.01,0.01
Serenity Index,2.69,0.35
,,
Avg. Up Month,5.54%,1.65%
Avg. Down Month,-,-
Win Days,60.32,54.29
Loss Days,34.68,40.71
Win Days%,63.49%,57.14%
Win Month%,75.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.16
Alpha,-,0.11
Correlation,-,39.08%
Treynor Ratio,-,5.19%
