Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,68.0%,61.0%
,,
Total Return,15%,8%
CAGR% (Annual Return),74.5%,37.46%
,,
Sharpe,3.81,2.65
RoMaD,22.68,11.2
Corr to Benchmark,1.0,0.42
Prob. Sharpe Ratio,94.61%,85.76%
Smart Sharpe,3.73,2.6
Sortino,6.22,4.06
Smart Sortino,6.1,3.98
Sortino/√2,4.4,2.87
Smart Sortino/√2,4.31,2.81
Omega,1.62,1.62
,,
Max Drawdown,-3.28%,-3.34%
Longest DD Days,16,33
Volatility (ann.),13.63%,10.53%
R^2,0.17,0.17
Information Ratio,-0.09,-0.09
Calmar,22.68,11.2
Skew,-0.24,-0.51
Kurtosis,1.51,3.16
,,
Expected Daily%,0.15%,0.09%
Expected Monthly%,3.53%,2.0%
Expected Yearly%,14.88%,8.25%
Daily Value-at-Risk,-1.02%,-0.82%
Expected Shortfall (cVaR),-1.02%,-0.82%
,,
MTD,-2.92%,-3.02%
3M,15.02%,9.04%
6M,14.88%,8.25%
YTD,14.88%,8.25%
1Y,14.88%,8.25%
3Y (ann.),74.5%,37.46%
5Y (ann.),74.5%,37.46%
10Y (ann.),74.5%,37.46%
All-time (ann.),74.5%,37.46%
,,
Best Day,1.78%,1.52%
Worst Day,-2.34%,-1.9%
Best Month,9.45%,6.03%
Worst Month,-2.92%,-3.02%
Best Year,14.88%,8.25%
Worst Year,14.88%,8.25%
,,
Avg. Drawdown,-1.06%,-0.86%
Avg. Drawdown Days,4,5
Recovery Factor,4.3,2.41
Ulcer Index,0.01,0.01
Serenity Index,2.85,1.34
,,
Avg. Up Month,5.82%,3.75%
Avg. Down Month,-2.92%,-3.02%
Win Days,59.35,50.93
Loss Days,32.65,41.07
Win Days%,64.52%,55.36%
Win Month%,75.0%,75.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.32
Alpha,-,0.14
Correlation,-,41.74%
Treynor Ratio,-,12.62%
