Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,69.0%,47.0%
,,
Total Return,48%,23%
CAGR% (Annual Return),39.56%,19.03%
,,
Sharpe,2.02,1.29
RoMaD,4.87,2.87
Corr to Benchmark,1.0,0.41
Prob. Sharpe Ratio,94.17%,82.3%
Smart Sharpe,1.89,1.21
Sortino,2.96,1.89
Smart Sortino,2.77,1.77
Sortino/√2,2.09,1.34
Smart Sortino/√2,1.96,1.25
Omega,1.3,1.3
,,
Max Drawdown,-8.12%,-6.63%
Longest DD Days,91,197
Volatility (ann.),15.02%,10.75%
R^2,0.17,0.17
Information Ratio,-0.06,-0.06
Calmar,4.87,2.87
Skew,-0.52,-0.39
Kurtosis,2.47,6.74
,,
Expected Daily%,0.09%,0.05%
Expected Monthly%,2.49%,1.3%
Expected Yearly%,21.79%,10.85%
Daily Value-at-Risk,-1.2%,-0.88%
Expected Shortfall (cVaR),-1.2%,-0.88%
,,
MTD,-2.92%,-3.02%
3M,15.02%,9.04%
6M,14.17%,10.81%
YTD,15.52%,8.24%
1Y,30.02%,11.85%
3Y (ann.),39.56%,19.03%
5Y (ann.),39.56%,19.03%
10Y (ann.),39.56%,19.03%
All-time (ann.),39.56%,19.03%
,,
Best Day,2.24%,2.37%
Worst Day,-3.57%,-3.21%
Best Month,9.45%,7.81%
Worst Month,-3.12%,-3.17%
Best Year,28.39%,13.52%
Worst Year,15.52%,8.24%
,,
Avg. Drawdown,-1.83%,-1.7%
Avg. Drawdown Days,13,25
Recovery Factor,5.02,3.21
Ulcer Index,0.03,0.03
Serenity Index,1.88,0.64
,,
Avg. Up Month,5.18%,4.03%
Avg. Down Month,-1.53%,-1.61%
Win Days,251.61,242.22
Loss Days,181.39,190.78
Win Days%,58.11%,55.94%
Win Month%,68.75%,50.0%
Win Quarter%,66.67%,83.33%
Win Year%,100.0%,100.0%
,,
Beta,-,0.3
Alpha,-,0.08
Correlation,-,41.21%
Treynor Ratio,-,63.39%
