time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2024-01-30 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-01-30 09:30:00-05:00,buy,fill,421.0,GLD,stock,,0.0,,189.6999969482422,market,1,0.0
2024-01-31 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-01-31 09:30:00-05:00,buy,fill,85.0,GLD,stock,,0.0,,189.3699951171875,market,1,0.0
2024-02-02 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-02-02 09:30:00-05:00,buy,fill,17.0,GLD,stock,,0.0,,188.07000732421875,market,1,0.0
2024-02-14 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-02-14 09:30:00-05:00,sell,fill,523.0,GLD,stock,,0.0,,184.27000427246094,market,1,0.0
2024-02-21 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-02-21 09:30:00-05:00,buy,fill,413.0,GLD,stock,,0.0,,187.8800048828125,market,1,0.0
2024-02-26 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-02-26 09:30:00-05:00,buy,fill,83.0,GLD,stock,,0.0,,187.7899932861328,market,1,0.0
2024-03-01 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-03-01 09:30:00-05:00,buy,fill,16.0,GLD,stock,,0.0,,190.27000427246094,market,1,0.0
2024-03-04 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-03-04 09:30:00-05:00,buy,fill,4.0,GLD,stock,,0.0,,194.14999389648438,market,1,0.0
2024-04-23 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-04-23 10:30:00-04:00,sell,fill,516.0,GLD,stock,,0.0,,213.9600067138672,market,1,0.0
2024-05-10 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-10 10:30:00-04:00,buy,fill,403.0,GLD,stock,,0.0,,219.22000122070312,market,1,0.0
2024-05-13 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-13 10:30:00-04:00,buy,fill,82.0,GLD,stock,,0.0,,217.05999755859375,market,1,0.0
2024-05-14 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-14 10:30:00-04:00,buy,fill,16.0,GLD,stock,,0.0,,217.30999755859375,market,1,0.0
2024-05-16 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-16 10:30:00-04:00,buy,fill,3.0,GLD,stock,,0.0,,220.13999938964844,market,1,0.0
