Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,69.0%,32.0%
,,
Total Return,49%,26%
CAGR% (Annual Return),38.51%,20.7%
,,
Sharpe,1.98,1.66
RoMaD,4.74,4.65
Corr to Benchmark,1.0,0.37
Prob. Sharpe Ratio,94.09%,92.8%
Smart Sharpe,1.78,1.49
Sortino,2.9,2.66
Smart Sortino,2.6,2.39
Sortino/√2,2.05,1.88
Smart Sortino/√2,1.84,1.69
Omega,1.49,1.49
,,
Max Drawdown,-8.12%,-4.46%
Longest DD Days,91,109
Volatility (ann.),14.89%,9.07%
R^2,0.14,0.14
Information Ratio,-0.05,-0.05
Calmar,4.74,4.65
Skew,-0.52,0.29
Kurtosis,2.51,8.35
,,
Expected Daily%,0.09%,0.05%
Expected Monthly%,2.52%,1.45%
Expected Yearly%,22.01%,12.17%
Daily Value-at-Risk,-1.19%,-0.73%
Expected Shortfall (cVaR),-1.19%,-0.73%
,,
MTD,-2.92%,-2.86%
3M,15.02%,2.1%
6M,14.17%,6.05%
YTD,15.52%,2.1%
1Y,30.02%,12.43%
3Y (ann.),38.51%,20.7%
5Y (ann.),38.51%,20.7%
10Y (ann.),38.51%,20.7%
All-time (ann.),38.51%,20.7%
,,
Best Day,2.24%,2.31%
Worst Day,-3.57%,-2.59%
Best Month,9.45%,7.48%
Worst Month,-3.12%,-2.86%
Best Year,28.85%,23.24%
Worst Year,15.52%,2.1%
,,
Avg. Drawdown,-1.69%,-1.39%
Avg. Drawdown Days,12,23
Recovery Factor,5.07,5.27
Ulcer Index,0.03,0.02
Serenity Index,1.94,1.34
,,
Avg. Up Month,4.2%,3.36%
Avg. Down Month,-3.02%,-1.66%
Win Days,260.02,263.13
Loss Days,186.98,183.87
Win Days%,58.17%,58.87%
Win Month%,75.0%,75.0%
Win Quarter%,66.67%,83.33%
Win Year%,100.0%,100.0%
,,
Beta,-,0.23
Alpha,-,0.12
Correlation,-,37.14%
Treynor Ratio,-,95.66%
