time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2024-01-16 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-01-16 09:30:00-05:00,buy,fill,502.0,GLD,stock,,0.0,,189.14999389648438,market,1,0.0
2024-01-22 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-01-22 09:30:00-05:00,buy,fill,25.0,GLD,stock,,0.0,,187.22999572753906,market,1,0.0
2024-02-06 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-02-06 09:30:00-05:00,sell,fill,527.0,GLD,stock,,0.0,,187.94000244140625,market,1,0.0
2024-02-20 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-02-20 09:30:00-05:00,buy,fill,502.0,GLD,stock,,0.0,,187.9600067138672,market,1,0.0
2024-03-21 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-03-21 10:30:00-04:00,buy,fill,23.0,GLD,stock,,0.0,,203.8800048828125,market,1,0.0
2024-04-23 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-04-23 10:30:00-04:00,sell,fill,525.0,GLD,stock,,0.0,,213.9600067138672,market,1,0.0
2024-05-10 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-05-10 10:30:00-04:00,buy,fill,488.0,GLD,stock,,0.0,,219.22000122070312,market,1,0.0
2024-05-23 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-05-23 10:30:00-04:00,sell,fill,488.0,GLD,stock,,0.0,,218.77999877929688,market,1,0.0
2024-07-01 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-07-01 10:30:00-04:00,buy,fill,496.0,GLD,stock,,0.0,,215.25,market,1,0.0
2024-07-22 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-07-22 10:30:00-04:00,sell,fill,496.0,GLD,stock,,0.0,,221.5800018310547,market,1,0.0
2024-08-09 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-08-09 10:30:00-04:00,buy,fill,488.0,GLD,stock,,0.0,,224.82000732421875,market,1,0.0
2024-08-23 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-08-23 10:30:00-04:00,sell,fill,488.0,GLD,stock,,0.0,,231.0399932861328,market,1,0.0
2024-10-14 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-10-14 10:30:00-04:00,buy,fill,459.0,GLD,stock,,0.0,,245.16000366210938,market,1,0.0
2024-11-01 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-11-01 10:30:00-04:00,sell,fill,459.0,GLD,stock,,0.0,,254.3300018310547,market,1,0.0
2024-11-19 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-11-19 09:30:00-05:00,buy,fill,480.0,GLD,stock,,0.0,,242.75,market,1,0.0
2024-11-26 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-11-26 09:30:00-05:00,sell,fill,480.0,GLD,stock,,0.0,,242.7100067138672,market,1,0.0
2024-12-02 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-12-02 09:30:00-05:00,buy,fill,477.0,GLD,stock,,0.0,,244.4600067138672,market,1,0.0
2024-12-10 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2024-12-10 09:30:00-05:00,buy,fill,23.0,GLD,stock,,0.0,,247.86000061035156,market,1,0.0
2024-12-16 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2024-12-16 09:30:00-05:00,sell,fill,500.0,GLD,stock,,0.0,,245.41000366210938,market,1,0.0
2025-03-05 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-05 09:30:00-05:00,buy,fill,436.0,GLD,stock,,0.0,,267.9700012207031,market,1,0.0
2025-03-25 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-03-25 10:30:00-04:00,sell,fill,436.0,GLD,stock,,0.0,,278.7799987792969,market,1,0.0
2025-03-28 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-28 10:30:00-04:00,buy,fill,428.0,GLD,stock,,0.0,,283.82000732421875,market,1,0.0
