Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,58.0%
,,
Total Return,4%,2%
CAGR% (Annual Return),52.16%,26.85%
,,
Sharpe,2.59,1.55
RoMaD,17.81,8.43
Corr to Benchmark,1.0,0.39
Prob. Sharpe Ratio,72.28%,62.36%
Smart Sharpe,2.39,1.43
Sortino,4.02,2.36
Smart Sortino,3.71,2.17
Sortino/√2,2.85,1.67
Smart Sortino/√2,2.62,1.54
Omega,1.36,1.36
,,
Max Drawdown,-2.93%,-3.18%
Longest DD Days,7,12
Volatility (ann.),14.54%,12.71%
R^2,0.15,0.15
Information Ratio,-0.06,-0.06
Calmar,17.81,8.43
Skew,-0.44,-0.2
Kurtosis,2.78,3.18
,,
Expected Daily%,0.11%,0.06%
Expected Monthly%,1.86%,1.05%
Expected Yearly%,3.75%,2.11%
Daily Value-at-Risk,-1.14%,-1.03%
Expected Shortfall (cVaR),-1.14%,-1.03%
,,
MTD,-2.92%,-2.86%
3M,3.75%,2.11%
6M,3.75%,2.11%
YTD,3.75%,2.11%
1Y,3.75%,2.11%
3Y (ann.),52.16%,26.85%
5Y (ann.),52.16%,26.85%
10Y (ann.),52.16%,26.85%
All-time (ann.),52.16%,26.85%
,,
Best Day,1.78%,1.64%
Worst Day,-2.34%,-1.81%
Best Month,6.87%,5.11%
Worst Month,-2.92%,-2.86%
Best Year,3.75%,2.11%
Worst Year,3.75%,2.11%
,,
Avg. Drawdown,-1.34%,-1.08%
Avg. Drawdown Days,4,6
Recovery Factor,1.29,0.68
Ulcer Index,0.01,0.01
Serenity Index,-0.12,-0.98
,,
Avg. Up Month,6.87%,5.11%
Avg. Down Month,-2.92%,-2.86%
Win Days,19.5,15.63
Loss Days,13.5,17.37
Win Days%,59.09%,47.37%
Win Month%,50.0%,50.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.34
Alpha,-,0.1
Correlation,-,39.21%
Treynor Ratio,-,-6.05%
