Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,61.0%
,,
Total Return,4%,2%
CAGR% (Annual Return),52.16%,22.35%
,,
Sharpe,2.59,1.5
RoMaD,17.81,8.33
Corr to Benchmark,1.0,0.39
Prob. Sharpe Ratio,72.28%,62.39%
Smart Sharpe,2.39,1.38
Sortino,4.02,2.27
Smart Sortino,3.71,2.09
Sortino/√2,2.85,1.6
Smart Sortino/√2,2.62,1.48
Omega,1.35,1.35
,,
Max Drawdown,-2.93%,-2.68%
Longest DD Days,7,12
Volatility (ann.),14.54%,10.71%
R^2,0.15,0.15
Information Ratio,-0.08,-0.08
Calmar,17.81,8.33
Skew,-0.44,-0.2
Kurtosis,2.78,3.18
,,
Expected Daily%,0.11%,0.05%
Expected Monthly%,1.86%,0.89%
Expected Yearly%,3.75%,1.78%
Daily Value-at-Risk,-1.14%,-0.87%
Expected Shortfall (cVaR),-1.14%,-0.87%
,,
MTD,-2.92%,-2.41%
3M,3.75%,1.78%
6M,3.75%,1.78%
YTD,3.75%,1.78%
1Y,3.75%,1.78%
3Y (ann.),52.16%,22.35%
5Y (ann.),52.16%,22.35%
10Y (ann.),52.16%,22.35%
All-time (ann.),52.16%,22.35%
,,
Best Day,1.78%,1.39%
Worst Day,-2.34%,-1.53%
Best Month,6.87%,4.3%
Worst Month,-2.92%,-2.41%
Best Year,3.75%,1.78%
Worst Year,3.75%,1.78%
,,
Avg. Drawdown,-1.34%,-0.91%
Avg. Drawdown Days,4,6
Recovery Factor,1.29,0.68
Ulcer Index,0.01,0.01
Serenity Index,-0.12,-1.35
,,
Avg. Up Month,6.87%,4.3%
Avg. Down Month,-2.92%,-2.41%
Win Days,19.5,16.5
Loss Days,13.5,16.5
Win Days%,59.09%,50.0%
Win Month%,50.0%,50.0%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.29
Alpha,-,0.08
Correlation,-,39.22%
Treynor Ratio,-,-8.29%
