Metric,GLD,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,69.0%,37.0%
,,
Total Return,3%,-2%
CAGR% (Annual Return),29.16%,-16.86%
,,
Sharpe,1.53,-2.86
RoMaD,8.88,-6.27
Corr to Benchmark,1.0,0.18
Prob. Sharpe Ratio,63.77%,10.28%
Smart Sharpe,1.49,-2.8
Sortino,2.23,-3.17
Smart Sortino,2.18,-3.1
Sortino/√2,1.58,-2.24
Smart Sortino/√2,1.54,-2.19
Omega,0.46,0.46
,,
Max Drawdown,-3.28%,-2.69%
Longest DD Days,16,34
Volatility (ann.),14.37%,7.63%
R^2,0.03,0.03
Information Ratio,-0.15,-0.15
Calmar,8.88,-6.27
Skew,-0.43,-2.12
Kurtosis,1.94,7.97
,,
Expected Daily%,0.07%,-0.05%
Expected Monthly%,1.08%,-0.77%
Expected Yearly%,3.27%,-2.3%
Daily Value-at-Risk,-1.17%,-0.71%
Expected Shortfall (cVaR),-1.17%,-0.71%
,,
MTD,-2.92%,-2.42%
3M,3.27%,-2.3%
6M,3.27%,-2.3%
YTD,3.27%,-2.3%
1Y,3.27%,-2.3%
3Y (ann.),29.16%,-16.86%
5Y (ann.),29.16%,-16.86%
10Y (ann.),29.16%,-16.86%
All-time (ann.),29.16%,-16.86%
,,
Best Day,1.78%,1.04%
Worst Day,-2.34%,-1.53%
Best Month,9.45%,1.2%
Worst Month,-2.92%,-2.42%
Best Year,3.27%,-2.3%
Worst Year,3.27%,-2.3%
,,
Avg. Drawdown,-1.58%,-2.04%
Avg. Drawdown Days,6,20
Recovery Factor,1.02,0.85
Ulcer Index,0.02,0.01
Serenity Index,-0.14,-1.18
,,
Avg. Up Month,9.45%,1.2%
Avg. Down Month,-2.86%,-1.74%
Win Days,27.91,24.88
Loss Days,19.09,22.12
Win Days%,59.38%,52.94%
Win Month%,33.33%,33.33%
Win Quarter%,50.0%,50.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.1
Alpha,-,-0.2
Correlation,-,17.93%
Treynor Ratio,-,-68.0%
