Metric,GLD,Strategy
Risk-Free Rate,4.39%,4.39%
Time in Market,69.0%,69.0%
,,
Total Return,43%,9%
CAGR% (Annual Return),22.19%,4.98%
,,
Sharpe,1.19,0.11
RoMaD,1.96,0.81
Corr to Benchmark,1.0,0.28
Prob. Sharpe Ratio,81.15%,43.86%
Smart Sharpe,1.17,0.11
Sortino,1.8,0.16
Smart Sortino,1.78,0.16
Sortino/√2,1.27,0.11
Smart Sortino/√2,1.26,0.11
Omega,1.02,1.02
,,
Max Drawdown,-11.35%,-6.13%
Longest DD Days,210,356
Volatility (ann.),13.99%,7.04%
R^2,0.08,0.08
Information Ratio,-0.06,-0.06
Calmar,1.96,0.81
Skew,0.04,-0.15
Kurtosis,2.92,6.1
,,
Expected Daily%,0.05%,0.01%
Expected Monthly%,1.65%,0.4%
Expected Yearly%,19.69%,4.46%
Daily Value-at-Risk,-1.15%,-0.59%
Expected Shortfall (cVaR),-1.15%,-0.59%
,,
MTD,-1.45%,-3.71%
3M,7.68%,2.42%
6M,15.71%,5.27%
YTD,30.69%,9.79%
1Y,34.67%,9.59%
3Y (ann.),22.19%,4.98%
5Y (ann.),22.19%,4.98%
10Y (ann.),22.19%,4.98%
All-time (ann.),22.19%,4.98%
,,
Best Day,3.21%,1.64%
Worst Day,-3.57%,-2.0%
Best Month,8.67%,4.45%
Worst Month,-4.76%,-3.71%
Best Year,30.69%,9.79%
Worst Year,9.61%,-0.62%
,,
Avg. Drawdown,-2.53%,-2.11%
Avg. Drawdown Days,21,50
Recovery Factor,3.32,1.5
Ulcer Index,0.04,0.03
Serenity Index,0.94,0.09
,,
Avg. Up Month,5.12%,1.93%
Avg. Down Month,-1.12%,-1.38%
Win Days,348.41,328.0
Loss Days,307.59,328.0
Win Days%,53.11%,50.0%
Win Month%,63.64%,54.55%
Win Quarter%,75.0%,50.0%
Win Year%,100.0%,50.0%
,,
Beta,-,0.14
Alpha,-,0.02
Correlation,-,28.39%
Treynor Ratio,-,32.99%
